community_id,state,county,vaccine,eligible_children,children_utd,children_due,vaccine_coverage
YAP__TAMIL,Yap,Tamil,HepB,150,146,4,97.33333333333333
YAP__TAMIL,Yap,Tamil,Hib,150,145,5,96.66666666666667
YAP__TAMIL,Yap,Tamil,IPV,150,143,7,95.33333333333333
YAP__TAMIL,Yap,Tamil,MMR,138,135,3,97.82608695652173
YAP__TAMIL,Yap,Tamil,PCV,150,145,5,96.66666666666667
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,DTaP,112,82,30,73.21428571428571
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,HepB,112,108,4,96.42857142857143
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,Hib,112,102,10,91.07142857142857
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,IPV,112,96,16,85.71428571428571
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,MMR,97,88,9,90.72164948453609
YAP__ULITHI ATOLL,Yap,Ulithi Atoll,PCV,112,97,15,86.60714285714286
YAP__WEELOEY,Yap,Weeloey,DTaP,76,66,10,86.84210526315789
YAP__WEELOEY,Yap,Weeloey,HepB,76,74,2,97.36842105263158
YAP__WEELOEY,Yap,Weeloey,Hib,76,72,4,94.73684210526316
YAP__WEELOEY,Yap,Weeloey,IPV,76,71,5,93.42105263157895
YAP__WEELOEY,Yap,Weeloey,MMR,69,67,2,97.10144927536231
YAP__WEELOEY,Yap,Weeloey,PCV,76,72,4,94.73684210526316
YAP__WOLEAI,Yap,Woleai,DTaP,144,126,18,87.5
YAP__WOLEAI,Yap,Woleai,HepB,144,142,2,98.61111111111111
YAP__WOLEAI,Yap,Woleai,Hib,144,133,11,92.36111111111111
YAP__WOLEAI,Yap,Woleai,IPV,144,132,12,91.66666666666667
YAP__WOLEAI,Yap,Woleai,MMR,120,118,2,98.33333333333333
YAP__WOLEAI,Yap,Woleai,PCV,144,131,13,90.97222222222223
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,DTaP,7,6,1,85.71428571428571
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,HepB,7,6,1,85.71428571428571
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,Hib,7,6,1,85.71428571428571
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,IPV,7,6,1,85.71428571428571
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,MMR,7,6,1,85.71428571428571
YAP__ZZ-UNKNOWN-YAP,Yap,Zz-Unknown-Yap,PCV,7,6,1,85.71428571428571
