community_id,state,county,product,doses_needed
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,Prevnar,8
CHUUK__MURILO ATOLL,Chuuk,Murilo Atoll,RotaTeq,1
CHUUK__NAMOLUK,Chuuk,Namoluk,PedVaxHib,0
CHUUK__NAMOLUK,Chuuk,Namoluk,Vaxelis,2
CHUUK__NAMOLUK,Chuuk,Namoluk,Pediarix,0
CHUUK__NAMOLUK,Chuuk,Namoluk,DTaP_Single,7
CHUUK__NAMOLUK,Chuuk,Namoluk,IPV_Single,5
CHUUK__NAMOLUK,Chuuk,Namoluk,MMR_Single,1
CHUUK__NAMOLUK,Chuuk,Namoluk,Prevnar,2
CHUUK__NAMOLUK,Chuuk,Namoluk,RotaTeq,1
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,PedVaxHib,2
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,Vaxelis,35
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,Pediarix,3
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,DTaP_Single,24
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,IPV_Single,20
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,MMR_Single,17
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,Prevnar,36
CHUUK__NAMONUITO ATOLL,Chuuk,Namonuito Atoll,RotaTeq,8
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,PedVaxHib,0
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,Vaxelis,6
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,Pediarix,0
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,DTaP_Single,9
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,IPV_Single,8
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,MMR_Single,6
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,Prevnar,7
CHUUK__NOMWIN ATOLL,Chuuk,Nomwin Atoll,RotaTeq,1
CHUUK__NORTHWEST,Chuuk,Northwest,PedVaxHib,8
CHUUK__NORTHWEST,Chuuk,Northwest,Vaxelis,34
CHUUK__NORTHWEST,Chuuk,Northwest,Pediarix,6
CHUUK__NORTHWEST,Chuuk,Northwest,DTaP_Single,5
CHUUK__NORTHWEST,Chuuk,Northwest,IPV_Single,0
CHUUK__NORTHWEST,Chuuk,Northwest,MMR_Single,58
CHUUK__NORTHWEST,Chuuk,Northwest,Prevnar,40
CHUUK__NORTHWEST,Chuuk,Northwest,RotaTeq,0
CHUUK__ONEI,Chuuk,Onei,PedVaxHib,3
CHUUK__ONEI,Chuuk,Onei,Vaxelis,9
CHUUK__ONEI,Chuuk,Onei,Pediarix,6
CHUUK__ONEI,Chuuk,Onei,DTaP_Single,22
CHUUK__ONEI,Chuuk,Onei,IPV_Single,11
CHUUK__ONEI,Chuuk,Onei,MMR_Single,16
CHUUK__ONEI,Chuuk,Onei,Prevnar,11
CHUUK__ONEI,Chuuk,Onei,RotaTeq,1
CHUUK__PAREM,Chuuk,Parem,PedVaxHib,1
CHUUK__PAREM,Chuuk,Parem,Vaxelis,5
CHUUK__PAREM,Chuuk,Parem,Pediarix,2
CHUUK__PAREM,Chuuk,Parem,DTaP_Single,11
CHUUK__PAREM,Chuuk,Parem,IPV_Single,9
CHUUK__PAREM,Chuuk,Parem,MMR_Single,6
CHUUK__PAREM,Chuuk,Parem,Prevnar,6
CHUUK__PAREM,Chuuk,Parem,RotaTeq,2
CHUUK__PATTA,Chuuk,Patta,PedVaxHib,0
CHUUK__PATTA,Chuuk,Patta,Vaxelis,19
CHUUK__PATTA,Chuuk,Patta,Pediarix,5
CHUUK__PATTA,Chuuk,Patta,DTaP_Single,14
CHUUK__PATTA,Chuuk,Patta,IPV_Single,11
CHUUK__PATTA,Chuuk,Patta,MMR_Single,21
CHUUK__PATTA,Chuuk,Patta,Prevnar,21
CHUUK__PATTA,Chuuk,Patta,RotaTeq,1
CHUUK__PIIS MOEN,Chuuk,Piis Moen,PedVaxHib,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,Vaxelis,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,Pediarix,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,DTaP_Single,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,IPV_Single,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,MMR_Single,1
CHUUK__PIIS MOEN,Chuuk,Piis Moen,Prevnar,0
CHUUK__PIIS MOEN,Chuuk,Piis Moen,RotaTeq,0
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,PedVaxHib,1
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,Vaxelis,4
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,Pediarix,2
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,DTaP_Single,4
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,IPV_Single,3
CHUUK__PIIS PANEU,Chuuk,Piis Paneu,MMR_Single,6
