community_id,state,state_join,county,county_join,child_population,source_patient_communities,source_patient_community_n,children_not_utd,proportion_not_utd,utd_coverage,utd_no_mmr_coverage,mmr_eligible_n,mmr_not_utd_n,mmr_coverage,median_months_since_vax,mean_individual_risk,median_individual_risk,p75_individual_risk,high_risk_n,high_risk_percent,latitude_patient,longitude_patient,census_region,census_total,census_under5,latitude_census,longitude_census,area_m2,area_km2,population_density_km2,under5_density_km2,census_source_communities,census_source_n,region,latitude,longitude,remoteness,access_component,median_risk_component,p75_risk_component,high_risk_percent_component,community_patient_risk_component,log_population_density,density_percentile_component,low_density_component,high_density_component,population_density_missing,low_density_component_for_score,high_density_component_for_score,transmission_component,burden_component,priority_score,priority_rank,priority_group,data_quality_flag,routing_ready
KOSRAE__UTWE,Kosrae,KOSRAE,Utwe,UTWE,93,Utwe,1,16,17.20430107526882,82.79569892473118,82.79569892473118,83,2,97.59036144578313,22.94866529774127,28.041320448752383,27.1640428929957,32.8222678530687,2,2.1505376344086025,5.2802778,162.9638889,Main,983,120,5.28333,162.967,108023755.92708501,108.023755927085,9.09985022797685,1.1108667623166042,Utwe,1,Main,5.2802778,162.9638889,0,0,27.1640428929957,32.8222678530687,2.1505376344086025,23.29298683329288,2.3125205948240812,3.7037037037037033,96.29629629629629,3.7037037037037033,FALSE,96.29629629629629,3.7037037037037033,0.8627032160478844,23.510646924747014,22.9,30,Moderate,Ready,TRUE
YAP__GILMAN,Yap,YAP,Gilman,GILMAN,24,Gilman,1,4,16.666666666666664,83.33333333333334,83.33333333333334,20,1,95,16.657084188911703,29.662331736253705,28.8523842117271,34.33378964179785,0,0,9.472605202957693,138.13152033683144,Main,252,22,9.54333,138.166,54044650.555348404,54.044650555348404,4.6628111646669055,0.4070708159629838,Gilman,1,Main,9.472605202957693,138.13152033683144,0,0,28.8523842117271,34.33378964179785,0,24.178188455395826,1.7339204411169116,0,100,0,FALSE,100,0,0,0,22.8,32,Moderate,Ready,TRUE
CHUUK__PIIS PANEU,Chuuk,CHUUK,Piis Paneu,PIIS PANEU,57,Piis Paneu,1,16,28.07017543859649,71.9298245614035,71.9298245614035,52,3,94.23076923076923,3.5482546201232035,25.96957543299271,27.8485055897787,32.434405658225,1,1.7543859649122806,7.677259342892461,151.76483369168332,Lagoon,376,58,7.67724136,151.76412269999997,318064,0.318064,1182.1520197193017,182.35323708436036,Piis Paneu,1,Lagoon,7.677259342892461,151.76483369168332,0,0,27.8485055897787,32.434405658225,1.7543859649122806,23.546861678494675,7.075937359289123,90.74074074074075,9.259259259259252,90.74074074074075,FALSE,9.259259259259252,90.74074074074075,21.366596708263685,14.833566670536177,22.7,33,Moderate,Ready,TRUE
CHUUK__LOSAP ATOLL,Chuuk,CHUUK,Losap Atoll,LOSAP ATOLL,39,Losap Atoll,1,22,56.41025641025641,43.58974358974359,46.15384615384615,35,4,88.57142857142857,13.880903490759753,25.118698701860914,22.8154232261008,32.4115902349989,3,7.6923076923076925,6.960292287202494,152.63006550121867,Outer,924,91,,,953671,0.953671,968.8875933104813,95.42074782603224,Losap; Nama,2,Outer,6.960292287202494,152.63006550121867,1,100,22.8154232261008,32.4115902349989,7.6923076923076925,21.7100335211218,6.8771801815973825,79.62962962962963,20.370370370370367,79.62962962962963,FALSE,20.370370370370367,79.62962962962963,17.28761928533773,29.667133341072354,22.6,34,Moderate,Ready,TRUE
CHUUK__FANAPANGES,Chuuk,CHUUK,Fanapanges,FANAPANGES,171,Fanapanges,1,95,55.55555555555556,44.44444444444444,44.44444444444444,156,27,82.6923076923077,8.31211498973306,25.45059126636272,23.3538672142368,29.7421857175451,13,7.602339181286549,7.35558639,151.6673438,Lagoon,672,91,7.353609999999999,151.664,1619802,1.619802,414.865520600666,56.17970591467353,Fanapanges,1,Lagoon,7.35558639,151.6673438,0,0,23.3538672142368,29.7421857175451,7.602339181286549,21.48122530830841,6.030361940212108,55.55555555555556,44.44444444444444,55.55555555555556,FALSE,44.44444444444444,55.55555555555556,11.93401406017134,56.47665307473552,22.5,35,Moderate,Ready,TRUE
KOSRAE__MALEM,Kosrae,KOSRAE,Malem,MALEM,143,Malem,1,23,16.083916083916083,83.91608391608392,83.91608391608392,125,5,96,5.716632443531827,27.963571906077043,27.3465662788045,33.57517681953,1,0.6993006993006993,5.2886111,163.0238889,Main,1300,130,5.28861,163.024,108023755.92708501,108.023755927085,12.034389925096546,1.2034389925096545,Malem,1,Main,5.2886111,163.0238889,0,0,27.3465662788045,33.57517681953,0.6993006993006993,23.26283527104884,2.5675912434590735,9.25925925925926,90.74074074074073,9.25925925925926,FALSE,90.74074074074073,9.25925925925926,2.1539662288008183,14.833566670536177,22.5,35,Moderate,Ready,TRUE
YAP__KANIFAY,Yap,YAP,Kanifay,KANIFAY,29,Kanifay,1,3,10.344827586206897,89.65517241379311,89.65517241379311,24,1,95.83333333333334,5.552361396303901,28.10879809923923,28.8067533652749,32.7538215833904,0,0,9.487227131209728,138.07541769689217,Main,314,31,9.48333,138.083,54044650.555348404,54.044650555348404,5.810010736926223,0.573599786129659,Kanifay,1,Main,9.487227131209728,138.07541769689217,0,0,28.8067533652749,32.7538215833904,0,23.83481633584302,1.9183936968013269,1.8518518518518516,98.14814814814815,1.8518518518518516,FALSE,98.14814814814815,1.8518518518518516,0.4413854877007966,0,22.5,35,Moderate,Ready,TRUE
YAP__EAURIPIK,Yap,YAP,Eauripik,EAURIPIK,10,Eauripik,1,3,30,70,70,8,1,87.5,12.02464065708419,27.975929728496453,27.221081451060947,31.978097193702897,0,0,6.683238,143.077316,Outer,114,10,6.68722,143.08200000000002,97149,0.097149,1173.4552079794955,102.9346673666224,Eauripik,1,Outer,6.683238,143.077316,1,100,27.221081451060947,31.978097193702897,0,22.72826830937715,7.0685596662746635,88.88888888888889,11.111111111111114,88.88888888888889,FALSE,11.111111111111114,88.88888888888889,20.202905163890797,0,22.4,38,Moderate,Ready,TRUE
YAP__GAGIL,Yap,YAP,Gagil,GAGIL,74,Gagil,1,10,13.513513513513514,86.48648648648648,86.48648648648648,67,0,100,4.747433264887064,26.78573851058451,28.33903718913985,33.8261464750171,0,0,9.561187364864864,138.26742375675676,Main,863,66,9.550000000000002,138.167,27058296.332562704,27.058296332562705,31.894099665153043,2.439177958169294,Gagil,1,Main,9.561187364864864,138.26742375675676,0,0,28.33903718913985,33.8261464750171,0,23.76865160848733,3.493293300203009,27.77777777777778,72.22222222222223,27.77777777777778,FALSE,72.22222222222223,27.77777777777778,6.602403224579814,0,22.4,38,Moderate,Ready,TRUE
CHUUK__SIIS,Chuuk,CHUUK,Siis,SIIS,32,Siis,1,12,37.5,62.5,62.5,30,4,86.66666666666667,10.365503080082135,28.761942448094935,27.2096737394479,30.791695185945724,1,3.125,7.298085438,151.8242898,Lagoon,349,43,7.29611,151.82100000000003,492728,0.492728,708.3015375623062,87.26924388303486,Siis,1,Lagoon,7.298085438,151.8242898,0,0,27.2096737394479,30.791695185945724,3.125,23.109143280857882,6.5642807359235915,70.37037037037037,29.629629629629633,70.37037037037037,FALSE,29.629629629629633,70.37037037037037,16.26198971615925,14.833566670536177,22.3,40,Moderate,Ready,TRUE
KOSRAE__LELU,Kosrae,KOSRAE,Lelu,LELU,252,Lelu,1,46,18.253968253968253,81.74603174603175,82.14285714285714,216,10,95.37037037037037,7.819301848049282,27.102952786559904,25.7723020762035,32.7766370066165,3,1.1904761904761905,5.33095858024509,163.0270668745725,Main,2160,260,5.336670000000001,163.018,108023755.92708501,108.023755927085,19.995601721698876,2.406877985019309,Lelu,1,Main,5.33095858024509,163.0270668745725,0,0,25.7723020762035,32.7766370066165,1.1904761904761905,22.256803885140638,3.0443129739635584,24.074074074074073,75.92592592592592,24.074074074074073,FALSE,75.92592592592592,24.074074074074073,5.358119453830153,29.667133341072354,22.2,41,Moderate,Ready,TRUE
YAP__ELATO ISLAND,Yap,YAP,Elato Island,ELATO ISLAND,15,Elato Island,1,6,40,60,60,15,1,93.33333333333333,9.51129363449692,24.902349988592277,25.7723020762035,34.6817248459959,0,0,7.511061,146.172352,Outer,105,13,7.51667,146.186,447477,0.447477,234.64893167693535,29.051772493334852,Elato Island,1,Outer,7.511061,146.172352,1,100,25.7723020762035,34.6817248459959,0,22.39972621492128,5.462343119843382,38.88888888888889,61.11111111111111,38.88888888888889,FALSE,61.11111111111111,38.88888888888889,8.711004639136053,0,22.1,42,Moderate,Ready,TRUE
CHUUK__TONOAS,Chuuk,CHUUK,Tonoas,TONOAS,510,Tonoas,1,205,40.19607843137255,59.80392156862745,59.80392156862745,450,38,91.55555555555556,10.546201232032855,23.98125556405543,22.8975587497148,30.0387862194844,17,3.3333333333333335,7.378260024447206,151.86926231779677,Lagoon,3517,469,7.37389,151.872,8861950,8.86195,396.86524974751603,52.9228894317842,Tonoas,1,Lagoon,7.378260024447206,151.86926231779677,0,0,22.8975587497148,30.0387862194844,3.3333333333333335,20.41295916039243,5.986113379483615,48.148148148148145,51.851851851851855,48.148148148148145,FALSE,51.851851851851855,48.148148148148145,9.828461817966724,61.8548605200302,21.8,43,Moderate,Ready,TRUE
YAP__ULITHI ATOLL,Yap,YAP,Ulithi Atoll,ULITHI ATOLL,112,Ulithi Atoll,1,31,27.67857142857143,72.32142857142857,72.32142857142857,97,9,90.72164948453609,8.410677618069816,27.79859685147159,27.9397672826831,31.9780971937029,0,0,9.962553598214287,139.60408316071428,Outer,847,77,10.020299999999999,139.79,883682,0.883682,958.4895924099394,87.13541749181267,Ulithi Atoll,1,Outer,9.962553598214287,139.60408316071428,0,0,27.9397672826831,31.9780971937029,0,23.15947980835044,6.866401468499859,77.77777777777779,22.222222222222214,77.77777777777779,FALSE,22.222222222222214,77.77777777777779,18.012928739828123,0,21.8,43,Moderate,Ready,TRUE
POHNPEI__MADOLENIHMW,Pohnpei,POHNPEI,Madolenihmw,MADOLENIHMW,489,Madolenihmw,1,165,33.74233128834356,66.25766871165644,66.25766871165644,420,25,94.04761904761905,6.899383983572895,25.085179912909474,23.6732831394022,33.0504220853297,6,1.2269938650306749,6.866085208800068,158.29462652146896,Main,5767,687,6.86667,158.283,347455069,347.455069,16.597829516771277,1.9772340693639443,Madolenihmw,1,Main,6.866085208800068,158.29462652146896,0,0,23.6732831394022,33.0504220853297,1.2269938650306749,21.059453073713396,2.8677755715284876,12.962962962962962,87.03703703703704,12.962962962962962,FALSE,87.03703703703704,12.962962962962962,2.7299291021480325,41.64308640419936,21.6,45,Low,Ready,TRUE
YAP__IFALIK,Yap,YAP,Ifalik,IFALIK,108,Ifalik,1,37,34.25925925925926,65.74074074074075,65.74074074074075,95,9,90.52631578947368,11.958932238193018,26.50443421975477,25.7038558065252,32.000912616929,0,0,7.255741,144.454375,Outer,578,65,7.256390000000001,144.45100000000002,1299671,1.299671,444.72793499277896,50.01265704936095,Ifalik,1,Outer,7.255741,144.454375,1,100,25.7038558065252,32.000912616929,0,21.82249600730092,6.099708754660563,57.407407407407405,42.592592592592595,57.407407407407405,FALSE,42.592592592592595,57.407407407407405,12.527729189376453,0,21.6,45,Low,Ready,TRUE
YAP__SATAWAL,Yap,YAP,Satawal,SATAWAL,98,Satawal,1,40,40.816326530612244,59.183673469387756,59.183673469387756,89,6,93.25842696629213,8.37782340862423,23.836925598439233,25.703855806525198,32.1891398585444,0,0,7.380966,147.031036,Outer,501,61,7.35806,147.036,1256341,1.256341,398.7770836102619,48.553696806838275,Satawal,1,Outer,7.380966,147.031036,1,100,25.703855806525198,32.1891398585444,0,21.860141455624,5.990907100789304,50,50,50,FALSE,50,50,10.930070727812,0,21.6,45,Low,Ready,TRUE
CHUUK__ONEI,Chuuk,CHUUK,Onei,ONEI,95,Onei,1,47,49.473684210526315,50.526315789473685,50.526315789473685,87,9,89.65517241379311,8.772073921971252,23.064387525967554,23.0344512890714,26.0917180013689,7,7.368421052631578,7.429463702879084,151.63184359588138,,,,,,,,,,,,,7.429463702879084,151.63184359588138,0,0,23.0344512890714,26.0917180013689,7.368421052631578,20.512698584242933,,,,,TRUE,50,50,10.256349292121467,44.50070001160852,21.2,48,Low,Missing Census match,TRUE
CHUUK__UDOT,Chuuk,CHUUK,Udot,UDOT,259,Udot,1,127,49.034749034749034,50.965250965250966,50.965250965250966,231,26,88.74458874458875,8.476386036960985,23.571402144297423,22.0762035135752,29.7650011407712,10,3.861003861003861,7.379647908894091,151.7154769877921,Lagoon,1680,227,7.38333,151.75,4466132,4.466132,376.1644304288364,50.82697958770587,Udot,1,Lagoon,7.379647908894091,151.7154769877921,0,0,22.0762035135752,29.7650011407712,3.861003861003861,19.970923108500134,5.932681247343725,46.2962962962963,53.7037037037037,46.2962962962963,FALSE,53.7037037037037,46.2962962962963,9.24579773541673,51.31570955721723,20.9,49,Low,Ready,TRUE
CHUUK__PATTA,Chuuk,CHUUK,Patta,PATTA,131,Patta,1,42,32.06106870229007,67.93893129770993,67.93893129770993,123,11,91.05691056910568,9.560574948665298,26.00157966327222,23.5363906000456,30.5179101072325,3,2.2900763358778624,7.374535829640408,151.58078729306317,Lagoon,1107,118,7.37278,151.58100000000002,4201979,4.201979,263.44729471518065,28.08200612140137,Patta,1,Lagoon,7.374535829640408,151.58078729306317,0,0,23.5363906000456,30.5179101072325,2.2900763358778624,20.68343164864943,5.577641967605932,40.74074074074074,59.25925925925926,40.74074074074074,FALSE,59.25925925925926,40.74074074074074,8.426583264264583,29.667133341072354,20.7,50,Low,Ready,TRUE
YAP__LAMOTREK ISLAND,Yap,YAP,Lamotrek Island,LAMOTREK ISLAND,79,Lamotrek Island,1,31,39.24050632911392,60.75949367088608,60.75949367088608,67,6,91.04477611940298,8.542094455852157,25.059623343354787,25.7951174994296,31.94387405886375,0,0,7.45675029113924,146.3780913164557,Outer,329,32,7.461109999999999,146.393,641872,0.641872,512.563252486477,49.854176533639105,Lamotrek Island,1,Outer,7.45675029113924,146.3780913164557,0,0,25.7951174994296,31.94387405886375,0,21.865845311430512,6.241373200918961,61.111111111111114,38.888888888888886,61.111111111111114,FALSE,38.888888888888886,61.111111111111114,13.362461023651981,0,20.6,51,Low,Ready,TRUE
KOSRAE__WALUNG,Kosrae,KOSRAE,Walung,WALUNG,10,Walung,1,0,0,100,100,10,0,100,,28.1930184804928,25.4072553045859,31.6929044033767,0,0,5.31032161583282,162.92218203136,,,,,,,,,,,,,5.31032161583282,162.92218203136,0,0,25.4072553045859,31.6929044033767,0,21.58293406342688,,,,,TRUE,50,50,10.79146703171344,0,20.4,52,Low,Missing Census match,TRUE
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,KOSRAE,Zz-Unknown-Kosrae,ZZ-UNKNOWN-KOSRAE,4,Zz-Unknown-Kosrae,1,0,0,100,100,4,0,100,,26.41683778234085,26.0004563084645,29.81633584302985,0,0,,,,,,,,,,,,,,,,,0,0,26.0004563084645,29.81633584302985,0,21.56354095368467,,,,,TRUE,50,50,10.781770476842334,0,20.3,53,Low,Missing coordinates,FALSE
CHUUK__MORTLOCK,Chuuk,CHUUK,Mortlock,MORTLOCK,317,Mortlock,1,59,18.61198738170347,81.38801261829653,81.38801261829653,283,9,96.81978798586573,6.6036960985626285,24.685399064783564,25.6810403832991,30.1528633356149,0,0,6.372315694743599,152.94845800404886,,,,,,,,,,,,,6.372315694743599,152.94845800404886,0,0,25.6810403832991,30.1528633356149,0,21.43919689710244,,,,,TRUE,50,50,10.71959844855122,0,20.2,54,Low,Geography requires resolution,FALSE
CHUUK__ROMONUM,Chuuk,CHUUK,Romonum,ROMONUM,73,Romonum,1,33,45.20547945205479,54.794520547945204,54.794520547945204,68,7,89.70588235294117,8.31211498973306,23.94972480849108,25.7723020762035,28.60141455624,0,0,7.411420086,151.6690107,Lagoon,865,139,7.411334246999998,151.66969849999998,852262,0.852262,1014.9461081216809,163.09538616059382,Romonum,1,Lagoon,7.411420086,151.6690107,0,0,25.7723020762035,28.60141455624,0,21.1836641569701,6.923575583544266,81.48148148148148,18.51851851851852,81.48148148148148,FALSE,18.51851851851852,81.48148148148148,17.26076338716082,0,19.9,55,Low,Ready,TRUE
CHUUK__NORTHWEST,Chuuk,CHUUK,Northwest,NORTHWEST,400,Northwest,1,103,25.75,74.25,74.25,376,21,94.41489361702128,3.2854209445585214,24.01560574948666,22.2130960529318,31.9780971937029,1,0.25,7.936279118211882,150.8987382906764,,,,,,,,,,,,,7.936279118211882,150.8987382906764,0,0,22.2130960529318,31.9780971937029,0.25,19.77347707049966,,,,,TRUE,50,50,9.88673853524983,14.833566670536177,19.3,56,Low,Geography requires resolution,FALSE
CHUUK__FONOTON,Chuuk,CHUUK,Fonoton,FONOTON,28,Fonoton,1,15,53.57142857142857,46.42857142857143,46.42857142857143,21,2,90.47619047619048,5.420944558521561,19.7509044685636,21.197809719370298,30.683321925621726,0,0,7.48473110356952,151.880624538154,Lagoon,388,43,7.48278,151.877,335392,0.335392,1156.8552619024902,128.20818624177082,Fonoton,1,Lagoon,7.48473110356952,151.880624538154,0,0,21.197809719370298,30.683321925621726,0,18.855350216746523,7.054324660599563,87.03703703703704,12.962962962962962,87.03703703703704,FALSE,12.962962962962962,87.03703703703704,16.411138151612715,0,17.8,57,Low,Ready,TRUE
CHUUK__EOT ISLAND,Chuuk,CHUUK,Eot Island,EOT ISLAND,28,Eot Island,1,14,50,50,50,26,0,100,8.50924024640657,17.844431407059748,20.22130960529315,28.321925621720276,0,0,7.386697461,151.7398447,Lagoon,266,29,7.38472,151.736,389037,0.389037,683.7395928921927,74.54303832283304,Eot Island,1,Lagoon,7.386697461,151.7398447,0.5,50,20.22130960529315,28.321925621720276,0,17.797170887519947,6.529038609622715,66.66666666666666,33.33333333333334,66.66666666666666,FALSE,33.33333333333334,66.66666666666666,11.864780591679962,0,17.3,58,Low,Ready,TRUE
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,CHUUK,Zz-Unknown-Chuuk,ZZ-UNKNOWN-CHUUK,173,Zz-Unknown-Chuuk,1,63,36.41618497109826,63.58381502890174,63.58381502890174,168,1,99.40476190476191,3.186858316221766,16.98689366034561,21.9393109742186,24.289299566507,0,0,,,,,,,,,,,,,,,,,0,0,21.9393109742186,24.289299566507,0,18.02144649783256,,,,,TRUE,50,50,9.01072324891628,0,17.1,59,Low,Missing coordinates,FALSE
CHUUK__PIIS MOEN,Chuuk,CHUUK,Piis Moen,PIIS MOEN,3,Piis Moen,1,0,0,100,100,3,0,100,,22.1218343600274,22.1218343600274,22.1218343600274,0,0,7.677255037,151.7648461,,,,,,,,,,,,,7.677255037,151.7648461,0,0,22.1218343600274,22.1218343600274,0,17.69746748802192,,,,,TRUE,50,50,8.84873374401096,0,16.8,60,Low,Missing Census match,TRUE
CHUUK__NAMOLUK,Chuuk,CHUUK,Namoluk,NAMOLUK,14,Namoluk,1,9,64.28571428571429,35.714285714285715,35.714285714285715,12,0,100,11.696098562628336,17.774844366220137,15.95938854665755,29.78211270819075,0,0,5.922806,153.116826,Outer,355,46,5.9261099999999995,153.111,421803,0.421803,841.625118835096,109.05564920116737,Namoluk,1,Outer,5.922806,153.116826,1,100,15.95938854665755,29.78211270819075,0,15.53205566963268,6.7365221602032275,75.92592592592592,24.074074074074076,75.92592592592592,FALSE,24.074074074074076,75.92592592592592,11.792857082498886,0,15.7,61,Moderate,Ready,TRUE
CHUUK__NAMONUITO ATOLL,Chuuk,CHUUK,Namonuito Atoll,NAMONUITO ATOLL,64,Namonuito Atoll,1,64,100,0,0,40,15,62.5,3.186858316221766,21.8966568275154,11.6130504220853,25,5,7.8125,8.092579078456037,150.98612477353674,Outer,1212,174,,,3242176,3.242176,373.82301269271005,53.66766023806233,Makur; Onoun; Piharar; Unanu,4,Outer,8.092579078456037,150.98612477353674,1,100,11.6130504220853,25,7.8125,13.53033025325118,5.926453948406556,44.44444444444444,55.55555555555556,44.44444444444444,FALSE,55.55555555555556,44.44444444444444,6.0134801125560795,38.344213595283186,15.5,62,High,Ready,TRUE
CHUUK__NOMWIN ATOLL,Chuuk,CHUUK,Nomwin Atoll,NOMWIN ATOLL,17,Nomwin Atoll,1,16,94.11764705882352,5.88235294117647,5.88235294117647,13,3,76.92307692307693,4.599589322381931,19.970943887479702,13.7348847821127,24.2756103125713,0,0,8.513866411764706,151.84946082352943,Outer,1343,143,,,33424,0.033424,40180.70847295356,4278.362853039732,Fananu; Nomwin,2,Outer,8.513866411764706,151.84946082352943,1,100,13.7348847821127,24.2756103125713,0,13.096052931781879,10.601167157946627,100,0,100,FALSE,0,100,13.096052931781879,0,13.3,63,High,Ready,TRUE
CHUUK__ETAL,Chuuk,CHUUK,Etal,ETAL,5,Etal,1,4,80,20,20,3,0,100,18.28336755646817,13.368012776636997,15.8567191421401,19.8037873602555,0,0,5.570762,153.586111,Outer,672,48,5.56833,153.586,602604,0.602604,1115.1602047115518,79.65430033653942,Etal,1,Outer,5.570762,153.586111,0,0,15.8567191421401,19.8037873602555,0,13.47478895733516,7.017649685247484,85.18518518518519,14.81481481481481,85.18518518518519,FALSE,14.81481481481481,85.18518518518519,11.478523926618841,0,12.7,64,High,Ready,TRUE
POHNPEI__ZZ-UNKNOWN-POHNPEI,Pohnpei,POHNPEI,Zz-Unknown-Pohnpei,ZZ-UNKNOWN-POHNPEI,4,Zz-Unknown-Pohnpei,1,2,50,50,50,3,0,100,3.679671457905544,14.962354551676949,12.258726899384,24.6543463381246,0,0,,,,,,,,,,,,,,,,,0,0,12.258726899384,24.6543463381246,0,12.28610540725532,,,,,TRUE,50,50,6.14305270362766,0,11.8,65,Low,Missing coordinates,FALSE
POHNPEI__KAPINGAMARANGI,Pohnpei,POHNPEI,Kapingamarangi,KAPINGAMARANGI,14,Kapingamarangi,1,11,78.57142857142857,21.428571428571427,21.428571428571427,13,1,92.3076923076923,14.915811088295689,16.339835728952785,10.3582021446498,20.74948665297745,0,0,1.9358861195714285,155.2493447142857,Outer,350,36,1.06667,154.767,343669,0.343669,1018.421795390332,104.75195609729128,Kapingamarangi,1,Outer,1.9358861195714285,155.2493447142857,1,100,10.3582021446498,20.74948665297745,0,10.364818617385371,6.926990878283944,83.33333333333334,16.666666666666657,83.33333333333334,FALSE,16.666666666666657,83.33333333333334,8.637348847821144,0,10.8,66,High,Ready,TRUE
POHNPEI__NUKUORO,Pohnpei,POHNPEI,Nukuoro,NUKUORO,3,Nukuoro,1,3,100,0,0,2,0,100,14.948665297741274,12.371663244353186,10.3810175678759,17.69050878393795,0,0,3.84277171194204,154.972955375134,Outer,210,24,1.06667,154.767,519204,0.519204,404.4652968775279,46.22460535743176,Nukuoro,1,Outer,3.84277171194204,154.972955375134,1,100,10.3810175678759,17.69050878393795,0,9.76671229751313,6.005035288826684,51.85185185185185,48.14814814814815,51.85185185185185,FALSE,48.14814814814815,51.85185185185185,5.064221191303104,0,10.5,67,High,Small denominator,TRUE
CHUUK__PULUWAT,Chuuk,CHUUK,Puluwat,PULUWAT,11,Puluwat,1,11,100,0,0,9,0,100,14.915811088295689,11.17696471905917,10.3582021446498,14.6817248459959,0,0,7.357222,149.200278,Outer,745,79,7.35722,149.2,1308748,1.308748,569.2463331367078,60.36303398362404,Puluwat,1,Outer,7.357222,149.200278,0,0,10.3582021446498,14.6817248459959,0,9.15126625598906,6.3460684308706234,62.96296296296296,37.03703703703704,62.96296296296296,FALSE,37.03703703703704,62.96296296296296,5.76190838340052,0,8.8,68,High,Ready,TRUE
CHUUK__HOUK,Chuuk,CHUUK,Houk,HOUK,17,Houk,1,16,94.11764705882352,5.88235294117647,5.88235294117647,9,0,100,6.308008213552362,9.553421642442048,4.67716176135067,19.7353410905772,0,0,6.68928722392279,149.302473997109,Outer,1116,134,6.69194,149.314,,,,,Houk,1,Outer,6.68928722392279,149.302473997109,1,100,4.67716176135067,19.7353410905772,0,6.753365274925843,,,,,TRUE,50,50,3.3766826374629217,0,7.7,69,High,Missing land area,TRUE
